pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,8/30/2023,85.7,-1.34,5.92,"Pepiot, Ryan",677950,686752,,foul,,,,,13,"Alek Thomas grounds out, first baseman Freddie Freeman to pitcher Ryan Pepiot.   Tommy Pham to 3rd.",R,L,R,LAD,AZ,S,,,1,2,2023,-1.03,0.19,-0.86,1.45,,502054,,1,4,Top,,,,,605131,,,3.255861584,-124.7811289,-4.761559205,-11.464299,24.07725606,-29.42494278,3.28,1.47,2,76.8,-42,86.7,2334,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.7,,,,,,,,31,4,Changeup,4,0,0,4,0,4,0,4,Infield shade,Standard,258,0,0
CH,8/30/2023,84.3,-1.54,5.93,"Pepiot, Ryan",677950,686752,,swinging_strike,,,,,13,"Alek Thomas grounds out, first baseman Freddie Freeman to pitcher Ryan Pepiot.   Tommy Pham to 3rd.",R,L,R,LAD,AZ,S,,,1,1,2023,-1.02,0.1,-0.15,0.98,,502054,,1,4,Top,,,,,605131,,,5.294228085,-122.7812799,-5.448339735,-11.30852001,20.81043266,-30.40923202,3.28,1.47,,,,85.4,2367,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.86,,,,,,,,31,3,Changeup,4,0,0,4,0,4,0,4,Infield shade,Standard,259,0,-0.096
FF,8/30/2023,93.9,-1.51,5.74,"Pepiot, Ryan",677950,686752,,ball,,,,,13,"Alek Thomas grounds out, first baseman Freddie Freeman to pitcher Ryan Pepiot.   Tommy Pham to 3rd.",R,L,R,LAD,AZ,B,,,0,1,2023,-0.65,1.36,-0.91,2.13,,502054,,1,4,Top,,,,,605131,,,3.043482318,-136.7450683,-6.793564828,-8.868593177,27.8358799,-13.76278805,3.22,1.45,,,,95.8,2324,7.1,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.35,,,,,,,,31,2,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,210,0,0.03
CH,8/30/2023,85,-1.47,5.97,"Pepiot, Ryan",677950,686752,,swinging_strike,,,,,7,"Alek Thomas grounds out, first baseman Freddie Freeman to pitcher Ryan Pepiot.   Tommy Pham to 3rd.",R,L,R,LAD,AZ,S,,,0,0,2023,-1.13,0.26,-0.44,1.37,,502054,,1,4,Top,,,,,605131,,,4.743567935,-123.7489145,-5.056182583,-12.57905405,23.17510883,-28.77211408,3.28,1.47,,,,86.1,2293,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.67,,,,,,,,31,1,Changeup,4,0,0,4,0,4,0,4,Standard,Standard,256,0,-0.047
SL,8/30/2023,90.6,-1.73,5.65,"Pepiot, Ryan",572233,686752,field_out,hit_into_play,,,,,6,"Christian Walker grounds out sharply, shortstop Miguel Rojas to first baseman Freddie Freeman.",R,R,R,LAD,AZ,X,6,ground_ball,0,2,2023,0.34,0.76,0.64,2.79,,502054,,0,4,Top,110.11,152.65,,,605131,,,5.208751136,-131.9875197,-2.908206612,2.99663138,25.97575681,-22.86100792,3.5,1.63,14,103.7,-11,91.4,2653,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.93,0.286,0.262,0,1,0,0,2,30,3,Slider,4,0,0,4,0,4,0,4,Standard,Standard,180,0.032,-0.146
FF,8/30/2023,93.8,-1.24,5.8,"Pepiot, Ryan",572233,686752,,called_strike,,,,,12,"Christian Walker grounds out sharply, shortstop Miguel Rojas to first baseman Freddie Freeman.",R,R,R,LAD,AZ,S,,,0,1,2023,-0.61,1.46,1.06,2.96,,502054,,0,4,Top,,,,,605131,,,7.402122051,-136.3545779,-4.902930719,-9.289535599,31.09253375,-13.04272966,3.48,1.71,,,,94.8,2399,7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.5,,,,,,,,30,2,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,203,0,-0.084
SL,8/30/2023,89.3,-1.64,5.73,"Pepiot, Ryan",572233,686752,,foul,,,,,8,"Christian Walker grounds out sharply, shortstop Miguel Rojas to first baseman Freddie Freeman.",R,R,R,LAD,AZ,S,,,0,0,2023,0.42,0.78,0.15,1.74,,502054,,0,4,Top,,,,,605131,,,3.554535057,-130.1572185,-5.579077188,4.187706134,23.63022979,-22.43483252,3.54,1.68,206,81.3,58,90.4,2634,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.93,,,,,,,,30,1,Slider,4,0,0,4,0,4,0,4,Standard,Standard,180,0,-0.062
FF,8/30/2023,93.3,-1.12,6.01,"Pepiot, Ryan",502054,686752,double,hit_into_play,,,,,9,Tommy Pham doubles (21) on a sharp line drive to left fielder David Peralta.,R,R,R,LAD,AZ,X,7,line_drive,3,2,2023,-0.49,1.66,0.51,2.17,,,,0,4,Top,99.55,46.6,,,605131,,,5.318996646,-135.6144532,-7.841361419,-7.141628839,27.84501055,-10.15786061,3.64,1.73,381,101.2,21,94.3,2242,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.7,0.48,0.642,1.25,1,1,1,5,29,6,4-Seam Fastball,4,0,0,4,0,4,0,4,Strategic,Standard,207,-0.043,0.554
FF,8/30/2023,94.2,-1.11,6.02,"Pepiot, Ryan",502054,686752,,foul_tip,,,,,3,Tommy Pham doubles (21) on a sharp line drive to left fielder David Peralta.,R,R,R,LAD,AZ,S,,,3,1,2023,-0.55,1.69,0.55,3.12,,,,0,4,Top,,,,,605131,,,5.568636512,-137.0129259,-5.633874221,-8.132002283,28.7208497,-9.840620606,3.64,1.73,,,,95.1,2366,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.77,,,,,,,,29,5,4-Seam Fastball,4,0,0,4,0,4,0,4,Strategic,Strategic,207,0,-0.079
FF,8/30/2023,92.2,-1.17,6.06,"Pepiot, Ryan",502054,686752,,called_strike,,,,,7,Tommy Pham doubles (21) on a sharp line drive to left fielder David Peralta.,R,R,R,LAD,AZ,S,,,3,0,2023,-0.68,1.61,-0.69,1.75,,,,0,4,Top,,,,,605131,,,2.739076004,-134.1100947,-8.732916889,-8.85432183,27.38554659,-11.12300588,3.39,1.55,,,,93.4,2330,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.62,,,,,,,,29,4,4-Seam Fastball,4,0,0,4,0,4,0,4,Strategic,Strategic,212,0,-0.078
